year,mgmtArea,frmSz,attr,adultMove,dmm,pK,pIncr,abund,totBM,amtCaught,bmCaught,bmDiff,cBmDiff,mgmt
2,0.1,2,10,10,0.5,18277.21283,10,239895.9639,1827753.864,44063.10998,424083.6625,-4.66E-10,268688.4669,OpenAccess
2,0.1,5,10,10,0.5,18277.21283,10,239895.9639,1827753.864,44063.10998,424083.6625,-4.66E-10,268688.4669,OpenAccess
2,0.1,10,10,10,0.5,18277.21283,10,239895.9639,1827753.864,44063.10998,424083.6625,-4.66E-10,268688.4669,OpenAccess
2,0.2,2,10,10,0.5,18277.21283,10,239895.9639,1827753.864,41413.99934,398587.4174,-4.66E-10,243192.2217,OpenAccess
2,0.2,5,10,10,0.5,18277.21283,10,239895.9639,1827753.864,41413.99934,398587.4174,-4.66E-10,243192.2217,OpenAccess
2,0.2,10,10,10,0.5,18277.21283,10,239895.9639,1827753.864,41413.99934,398587.4174,-4.66E-10,243192.2217,OpenAccess
2,0.3,2,10,10,0.5,18277.21283,10,239895.9639,1827753.864,38764.88871,373091.1722,-4.66E-10,217695.9766,OpenAccess
2,0.3,5,10,10,0.5,18277.21283,10,239895.9639,1827753.864,38764.88871,373091.1722,-4.66E-10,217695.9766,OpenAccess
2,0.3,10,10,10,0.5,18277.21283,10,239895.9639,1827753.864,38764.88871,373091.1722,-4.66E-10,217695.9766,OpenAccess
2,0.4,2,10,10,0.5,18277.21283,10,239895.9639,1827753.864,36115.77807,347594.9271,-4.66E-10,192199.7314,OpenAccess
2,0.4,5,10,10,0.5,18277.21283,10,239895.9639,1827753.864,36115.77807,347594.9271,-4.66E-10,192199.7314,OpenAccess
2,0.4,10,10,10,0.5,18277.21283,10,239895.9639,1827753.864,36115.77807,347594.9271,-4.66E-10,192199.7314,OpenAccess
2,0.5,2,10,10,0.5,18277.21283,10,239895.9639,1827753.864,33466.66744,322098.6819,-4.66E-10,166703.4863,OpenAccess
2,0.5,5,10,10,0.5,18277.21283,10,239895.9639,1827753.864,33466.66744,322098.6819,-4.66E-10,166703.4863,OpenAccess
2,0.5,10,10,10,0.5,18277.21283,10,239895.9639,1827753.864,33466.66744,322098.6819,-4.66E-10,166703.4863,OpenAccess
2,0.6,2,10,10,0.5,18277.21283,10,239895.9639,1827753.864,30817.55681,296602.4368,-4.66E-10,141207.2411,OpenAccess
2,0.6,5,10,10,0.5,18277.21283,10,239895.9639,1827753.864,30817.55681,296602.4368,-4.66E-10,141207.2411,OpenAccess
2,0.6,10,10,10,0.5,18277.21283,10,239895.9639,1827753.864,30817.55681,296602.4368,-4.66E-10,141207.2411,OpenAccess
3,0.1,2,10,10,0.5,18277.21283,10,105311.3908,522337.0716,7911.915268,74700.74502,-1135622.667,-71053.78411,OpenAccess
3,0.1,5,10,10,0.5,18277.21283,10,105311.3908,522337.0716,7830.571079,73932.73009,-1135622.667,-71821.79904,OpenAccess
3,0.1,10,10,10,0.5,18277.21283,10,105311.3908,522337.0716,7643.121475,72162.91595,-1135622.667,-73591.61317,OpenAccess
3,0.2,2,10,10,0.5,18277.21283,10,116724.9144,630097.9823,9301.227444,87818.00545,-1027861.756,-57936.52368,OpenAccess
3,0.2,5,10,10,0.5,18277.21283,10,116724.9144,630097.9823,9263.891518,87465.49659,-1027861.756,-58289.03254,OpenAccess
