year,mgmtArea,frmSz,attr,adultMove,dmm,pK,pIncr,abund,totBM,amtCaught,bmCaught,mgmt
2,0.1,2,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,44063.10997573488,424083.6625349692,OpenAccess
2,0.1,5,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,44063.10997573488,424083.6625349692,OpenAccess
2,0.1,10,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,44063.10997573488,424083.6625349692,OpenAccess
2,0.2,2,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,41413.99934210401,398587.4173820843,OpenAccess
2,0.2,5,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,41413.99934210401,398587.4173820843,OpenAccess
2,0.2,10,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,41413.99934210401,398587.4173820843,OpenAccess
2,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,38764.88870847315,373091.17222919944,OpenAccess
2,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,38764.88870847315,373091.17222919944,OpenAccess
2,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,38764.88870847315,373091.17222919944,OpenAccess
2,0.4,2,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,36115.77807484228,347594.9270763146,OpenAccess
2,0.4,5,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,36115.77807484228,347594.9270763146,OpenAccess
2,0.4,10,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,36115.77807484228,347594.9270763146,OpenAccess
2,0.5,2,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,33466.66744121141,322098.68192342966,OpenAccess
2,0.5,5,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,33466.66744121141,322098.68192342966,OpenAccess
2,0.5,10,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,33466.66744121141,322098.68192342966,OpenAccess
2,0.6,2,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,30817.556807580542,296602.4367705448,OpenAccess
2,0.6,5,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,30817.556807580542,296602.4367705448,OpenAccess
2,0.6,10,10,10,0.5,18277.21283467606,10,239895.96392714695,1827753.863945094,30817.556807580542,296602.4367705448,OpenAccess
3,0.1,2,10,10,0.5,18277.21283467606,10,105311.39078338463,522337.0715628767,7911.915267651629,74700.74501767446,OpenAccess
3,0.1,5,10,10,0.5,18277.21283467606,10,105311.39078338463,522337.07156287675,7830.5710793903545,73932.73009049514,OpenAccess
3,0.1,10,10,10,0.5,18277.21283467606,10,105311.39078338463,522337.07156287675,7643.121475022508,72162.91595471505,OpenAccess
3,0.2,2,10,10,0.5,18277.21283467606,10,116724.91442179879,630097.982344047,9301.227444346861,87818.00544692083,OpenAccess
3,0.2,5,10,10,0.5,18277.21283467606,10,116724.91442179879,630097.982344047,9263.891518284754,87465.49658615579,OpenAccess
3,0.2,10,10,10,0.5,18277.21283467606,10,116724.91442179879,630097.982344047,8966.068421876716,84653.586142320215,OpenAccess
3,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,128138.43806021294,737858.8931252173,10602.475919829918,100103.80837643944,OpenAccess
3,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,128138.43806021294,737858.8931252173,10543.544707792958,99547.40666094182,OpenAccess
3,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,128138.43806021294,737858.8931252173,10331.484879183217,97545.23415594414,OpenAccess
3,0.4,2,10,10,0.5,18277.21283467606,10,139551.9616986271,845619.8039063875,11803.594851187874,111444.23391432255,OpenAccess
3,0.4,5,10,10,0.5,18277.21283467606,10,139551.9616986271,845619.8039063875,11743.609171584658,110877.87642850165,OpenAccess
